pri_sch,pri_sch_long,pri_sch_lat
ANG MO KIO PRIMARY SCHOOL,103.839630858752,1.36932176584608
ANDERSON PRIMARY SCHOOL,103.841392081119,1.38426429436736
RIVERVALE PRIMARY SCHOOL,103.904559511997,1.39340997767762
NAN CHIAU PRIMARY SCHOOL,103.891180928186,1.39221149906592
ANCHOR GREEN PRIMARY SCHOOL,103.887165375933,1.39036998654612
PUNGGOL PRIMARY SCHOOL,103.894506933668,1.37779451191095
HOLY INNOCENTS' PRIMARY SCHOOL,103.894114899795,1.36693830877349
DAMAI PRIMARY SCHOOL,103.921270169613,1.33546106800406
FENGSHAN PRIMARY SCHOOL,103.931710293058,1.32980598760785
EUNOS PRIMARY SCHOOL,103.904541254016,1.32447629876368
CANOSSA CATHOLIC PRIMARY SCHOOL,103.882227964852,1.32664424544839
CEDAR PRIMARY SCHOOL,103.87562104944,1.3355885014312
BENDEMEER PRIMARY SCHOOL,103.865404167629,1.32181250780475
RAFFLES GIRLS' PRIMARY SCHOOL,103.806442915912,1.3294042600012
HENRY PARK PRIMARY SCHOOL,103.784296227747,1.31667646178347
NANYANG PRIMARY SCHOOL,103.806468059795,1.32111548993736
FARRER PARK PRIMARY SCHOOL,103.850766162813,1.31236856978581
ALEXANDRA PRIMARY SCHOOL,103.824424680531,1.29133439161334
QUEENSTOWN PRIMARY SCHOOL,103.807548617332,1.29559365009015
CLEMENTI PRIMARY SCHOOL,103.763144493687,1.31506321827875
NAN HUA PRIMARY SCHOOL,103.761095065761,1.31920159956387
CANTONMENT PRIMARY SCHOOL,103.839962631748,1.27547252623201
LEARNING STUDIO BY ZENITANT ZHONGHUA PRIMARY SCHOOL,103.869712517383,1.36026072476019
AVONDALE GRAMMAR SCHOOL PRIMARY & MIDDLE YEARS CAMPUS,103.814930809739,1.29723259722684
MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL,103.801889031334,1.44700426493785
KNOWLEDGE PARK EDUCARE PTE LTE OPERA ESTATE PRIMARY SCHOOL,103.923752668632,1.31996876377748
CATHOLIC HIGH SCHOOL PRIMARY,103.844210670766,1.35438878373608
SINGAPORE CHINESE GIRLS' SCHOOL PRIMARY,103.827744749548,1.32080725235992
